Country,Happiness score,Year,latitude,longitude,GDP,Healthy life expectancy,Corruption
Lesotho,0.06,2021,-29.609988,28.233608,7.926,48.7,0.915
Botswana,0.05,2021,-22.328474,24.684866,9.782,59.269,0.801
Rwanda,0.05,2021,-1.940278,29.873888,7.676,61.4,0.167
Zimbabwe,0.03,2021,-19.015438,29.154857,7.943,56.201,0.821
Afghanistan,0.0,2021,33.93911,67.709953,7.695,52.493,0.924
Finland,1.0,2020,61.92411,25.748151,10.63926697,71.9008255,0.195444584
Denmark,0.94,2020,56.26392,9.501785,10.77400112,72.40250397,0.168489456
Switzerland,0.9,2020,46.818188,8.227512,10.97993279,74.10244751,0.303728431
Iceland,0.88,2020,64.963051,-19.020835,10.77255917,73.0,0.711709738
Norway,0.88,2020,60.472024,8.468946,11.08780384,73.20078278,0.263218194
Netherlands,0.86,2020,52.132633,5.291266,10.81271172,72.30091858,0.364717126
Sweden,0.83,2020,60.128161,18.643501,10.75879383,72.60076904,0.250880182
New Zealand,0.81,2020,-40.900557,174.885971,10.50094318,73.20262909,0.22113885
Austria,0.81,2020,47.516231,14.550072,10.7428236,73.00250244,0.499954879
Luxembourg,0.79,2020,49.815273,6.129583,11.45068073,72.59999847,0.367084295
Canada,0.79,2020,56.130366,-106.346771,10.69236851,73.60160065,0.390843362
Australia,0.78,2020,-25.274398,133.775136,10.72059631,73.60453796,0.41516912
United Kingdom,0.76,2020,55.378051,-3.435973,10.60013485,72.30160522,0.435915917
Israel,0.75,2020,31.046051,34.851612,10.41752529,73.20025635,0.78085506
Costa Rica,0.75,2020,9.748917,-83.753428,9.658156395,71.29985046,0.786332428
Ireland,0.74,2020,53.41291,-8.24389,11.16097832,72.30078888,0.357184172
Germany,0.73,2020,51.165691,10.451526,10.7328186,72.20201874,0.456422031
United States,0.69,2020,37.09024,-95.712891,10.92576885,68.29949951,0.699715316
Czech Republic,0.68,2020,49.817492,15.472962,10.40416336,70.04793549,0.85844624
Belgium,0.67,2020,50.503887,4.469936,10.6736393,72.00164795,0.612297952
United Arab Emirates,0.65,2020,23.424076,53.847818,11.1099987,67.08278656,0.594502211
Malta,0.64,2020,35.937496,14.375416,10.53383827,72.19999695,0.658547282
France,0.61,2020,46.227638,2.213749,10.58422279,73.80193329,0.583521128
Mexico,0.55,2020,23.634501,-102.552784,9.797797203,68.29902649,0.806821585
Taiwan,0.55,2020,23.69781,120.960515,10.77568531,69.59999847,0.73188293
Uruguay,0.54,2020,-32.522779,-55.765835,9.948192596,69.00254822,0.635994136
Saudi Arabia,0.54,2020,23.885942,45.079162,10.79781246,66.30514526,0.682619512
Spain,0.53,2020,40.463667,-3.74922,10.46292686,74.40270996,0.765859902
Guatemala,0.53,2020,15.783471,-90.230759,8.924805641,64.8089447,0.783237457
Italy,0.53,2020,41.87194,12.56738,10.48183632,73.60168457,0.873404682
Singapore,0.53,2020,1.352083,103.819836,11.39552116,76.80458069,0.109784193
Brazil,0.53,2020,-14.235004,-51.92528,9.56643486,66.48016357,0.770601273
Slovenia,0.52,2020,46.151241,14.995463,10.39232254,71.1029892,0.817071021
El Salvador,0.52,2020,13.794185,-88.89653,8.909075737,66.10826111,0.754319906
Kosovo,0.51,2020,42.602636,20.902977,9.204429626,63.88555527,0.922328293
Panama,0.51,2020,8.537981,-80.782127,10.03423405,69.60301208,0.851588905
Slovakia,0.5,2020,48.669026,19.699024,10.34774971,68.90634155,0.918096125
Uzbekistan,0.5,2020,41.377491,64.585262,8.740371704,65.10757446,0.501497388
Chile,0.49,2020,-35.675147,-71.542969,10.0320549,69.90061951,0.838239431
Bahrain,0.49,2020,25.930414,50.637772,10.67638016,68.5,0.7393471
Lithuania,0.49,2020,55.169438,23.881275,10.34362602,67.29407501,0.809583843
Trinidad and Tobago,0.48,2020,10.691803,-61.222503,10.26000214,63.5,0.912230611
Poland,0.48,2020,51.919438,19.145136,10.26512432,69.31113434,0.686927021
Colombia,0.47,2020,4.570868,-74.297333,9.500369072,67.69958496,0.86457181
Cyprus,0.47,2020,35.126413,33.429859,10.40570259,73.70222473,0.856271744
Nicaragua,0.47,2020,12.865416,-85.207229,8.493160248,67.50717926,0.665950119
Romania,0.46,2020,45.943161,24.96676,10.107584,67.20723724,0.934300244
Kuwait,0.46,2020,29.31166,47.481766,11.08982468,66.76764679,0.760849059
Mauritius,0.46,2020,-20.348404,57.552152,9.956786156,66.40434265,0.805343091
Kazakhstan,0.45,2020,48.019573,66.923684,10.11465836,64.60996246,0.764490843
Estonia,0.44,2020,58.595272,25.013607,10.34001732,68.60495758,0.623073816
Philippines,0.43,2020,12.879721,121.774017,8.993545532,61.92676163,0.733634114
Hungary,0.43,2020,47.162494,19.503304,10.24924374,67.60997009,0.892916501
Thailand,0.43,2020,15.870032,100.992541,9.741791725,67.25059509,0.886272311
Argentina,0.43,2020,-38.416097,-63.616672,9.810955048,68.80380249,0.842009842
Honduras,0.42,2020,15.199999,-86.241905,8.424534798,67.19876862,0.801131904
Latvia,0.42,2020,56.879635,24.603189,10.17531967,66.8074646,0.795580089
Ecuador,0.42,2020,-1.831239,-78.183406,9.246058464,68.50003815,0.801215112
Portugal,0.41,2020,39.399872,-8.224454,10.26374245,72.40202332,0.892629504
Jamaica,0.41,2020,18.109581,-77.297508,9.006250381,67.09999847,0.888890028
